1313 13
34	31709	3	1	1	0.009	8	6.73000000000000000000e+02	2.00000000000000000000e+01	2.39509001374244689941e-01	8.12246036529541015625e+00	0.675	0.7204180955886841
35	31709	3	1	27	0.726	8	8.43000000000000000000e+02	2.40000000000000000000e+01	2.93980836868286132812e-01	9.04429149627685546875e+00	1.3250000000000002	0.8532455563545227
36	31709	3	1	43	0.426	8	7.22000000000000000000e+02	2.10000000000000000000e+01	2.55157172679901123047e-01	8.38727569580078125000e+00	0.7000000000000001	0.7585756182670593
37	31709	3	1	62	0.232	8	3.37000000000000000000e+02	1.30000000000000000000e+01	1.31715908646583557129e-01	6.29826927185058593750e+00	0.775	0.4575687646865845
38	31709	3	1	43	0.453	8	1.02300000000000000000e+03	2.80000000000000000000e+01	3.51789474487304687500e-01	1.00225915908813476562e+01	0.8250000000000001	0.9942097067832947
39	31709	3	1	43	0.238	8	7.44000000000000000000e+02	2.20000000000000000000e+01	2.62201517820358276367e-01	8.50648689270019531250e+00	0.8500000000000001	0.7757529020309448
40	31709	3	2	3	0.115	8	8.72000000000000000000e+02	2.50000000000000000000e+01	3.03349465131759643555e-01	9.20283699035644531250e+00	0.9	0.8760906457901001
41	31709	3	1	46	0.690	8	6.52000000000000000000e+02	2.00000000000000000000e+01	2.32680499553680419922e-01	8.00690078735351562500e+00	1.1500000000000001	0.7037670612335205
42	31709	3	1	47	0.853	8	9.76000000000000000000e+02	2.70000000000000000000e+01	3.36568355560302734375e-01	9.76500320434570312500e+00	1.425	0.9570936560630798
43	31709	3	1	47	0.921	8	3.01000000000000000000e+02	1.20000000000000000000e+01	1.20098516345024108887e-01	6.10166740417480468750e+00	1.4500000000000002	0.42924022674560547
44	31709	3	2	13	0.043	8	3.91000000000000000000e+02	1.40000000000000000000e+01	1.48918703198432922363e-01	6.58939313888549804688e+00	1.35	0.49951714277267456
45	31709	3	2	5	0.972	8	6.58000000000000000000e+02	2.00000000000000000000e+01	2.34573826193809509277e-01	8.03894138336181640625e+00	0.30000000000000004	0.7083838582038879
46	31709	3	1	6	0.321	8	7.26000000000000000000e+02	2.10000000000000000000e+01	2.56551384925842285156e-01	8.41086959838867187500e+00	0.7000000000000001	0.7619752883911133
47	31709	3	2	6	0.836	8	6.81000000000000000000e+02	2.00000000000000000000e+01	2.41817146539688110352e-01	8.16152095794677734375e+00	0.55	0.7260464429855347
48	31709	3	2	6	0.695	8	4.98000000000000000000e+02	1.60000000000000000000e+01	1.83298826217651367188e-01	7.17121076583862304688e+00	0.5750000000000001	0.583351731300354
